Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2024-03-01 00:00:00,28,59.0,1.0,-9999.0,1.0,-9999.0,1.0,1.7817,1.0,15.7646,1.0,17.5462,1.0,-9999.0,1.0,-9999.0,1.0,2.77539,2.1,-9999.0,1.0,359.5,1.0,68.2,1.0,636.4,1.0,-9999.0,1.0,0.0,1.0,21.9,1.0,0.7,1.0
2024-03-01 01:00:00,28,53.0,1.0,-9999.0,1.0,-9999.0,1.0,0.8188,1.8,13.8541,1.8,14.6728,1.8,-9999.0,1.0,-9999.0,1.0,3.19376,2.5,-9999.0,1.0,354.4,1.0,69.2,1.0,636.1,1.0,-9999.0,1.0,0.0,1.0,21.6,1.0,1.1,1.0
2024-03-01 02:00:00,28,59.0,1.0,-9999.0,1.0,-9999.0,1.0,2.5026,1.8,16.2948,1.8,18.7973,1.8,-9999.0,1.0,-9999.0,1.0,4.54714,2.5,-9999.0,1.0,344.4,1.0,67.4,1.0,635.8,1.0,-9999.0,1.0,0.0,1.0,21.6,1.0,0.6,1.0
2024-03-01 03:00:00,28,45.0,1.0,-9999.0,1.0,-9999.0,1.0,-0.1242,3.0,8.5986,2.6,8.4744,2.6,-9999.0,1.0,-9999.0,1.0,4.94396,2.5,-9999.0,1.0,12.8,1.0,64.5,1.0,635.6,1.0,-9999.0,1.0,0.0,1.0,21.3,1.0,0.7,1.0
2024-03-01 04:00:00,28,49.0,1.0,-9999.0,1.0,-9999.0,1.0,0.193,1.8,12.2018,1.8,12.3947,1.8,-9999.0,1.0,-9999.0,1.0,4.26769,2.5,-9999.0,1.0,345.1,1.0,67.1,1.0,635.6,1.0,-9999.0,1.0,0.0,1.0,20.8,1.0,0.5,1.0
2024-03-01 05:00:00,28,44.0,1.0,-9999.0,1.0,-9999.0,1.0,1.3767,1.8,17.9501,1.8,19.3267,1.8,-9999.0,1.0,-9999.0,1.0,5.89764,2.5,-9999.0,1.0,8.5,1.0,67.2,1.0,635.8,1.0,-9999.0,1.0,0.0,1.0,20.4,1.0,0.1,1.0
2024-03-01 06:00:00,28,50.0,1.0,-9999.0,1.0,-9999.0,1.0,7.3912,1.8,31.6205,2.1,39.0117,1.8,-9999.0,1.0,-9999.0,1.0,6.35367,2.5,-9999.0,1.0,343.0,1.0,66.5,1.0,636.1,1.0,-9999.0,1.0,0.27,1.0,20.3,1.0,0.4,1.0
2024-03-01 07:00:00,28,53.0,1.0,-9999.0,1.0,-9999.0,1.0,33.9565,2.2,40.5989,2.1,74.5554,2.2,-9999.0,1.0,-9999.0,1.0,7.82271,2.5,-9999.0,1.0,336.1,1.0,64.8,1.0,636.5,1.0,-9999.0,1.0,27.64,1.0,20.6,1.0,0.4,1.0
2024-03-01 08:00:00,28,55.0,1.0,-9999.0,1.0,-9999.0,1.0,28.6499,2.2,38.5636,1.8,67.2134,2.2,-9999.0,1.0,-9999.0,1.0,9.70793,2.5,-9999.0,1.0,50.0,1.0,56.6,1.0,637.0,1.0,-9999.0,1.0,104.77,1.0,22.4,1.0,0.1,1.0
2024-03-01 09:00:00,28,42.0,1.0,-9999.0,1.0,-9999.0,1.0,11.3229,1.8,29.6011,1.8,40.924,1.8,-9999.0,1.0,-9999.0,1.0,4.89012,2.5,-9999.0,1.0,352.6,1.0,49.2,1.0,637.4,1.0,-9999.0,1.0,155.91,1.0,23.6,1.0,0.4,1.0
2024-03-01 10:00:00,28,34.0,1.0,-9999.0,1.0,-9999.0,1.0,5.9432,1.8,23.9858,1.8,29.929,1.8,-9999.0,1.0,-9999.0,1.0,3.50503,2.5,-9999.0,1.0,329.3,1.0,44.3,1.0,637.5,1.0,-9999.0,1.0,200.67,1.0,24.7,1.0,0.5,1.0
2024-03-01 11:00:00,28,28.0,1.0,-9999.0,1.0,-9999.0,1.0,3.6659,1.8,18.3691,1.8,22.035,1.8,-9999.0,1.0,-9999.0,1.0,3.19448,2.5,-9999.0,1.0,260.2,1.0,40.1,1.0,637.1,1.0,-9999.0,1.0,188.08,1.0,26.0,1.0,0.3,1.0
2024-03-01 12:00:00,28,31.0,1.0,-9999.0,1.0,-9999.0,1.0,2.0113,1.8,15.1031,1.8,17.1144,1.8,-9999.0,1.0,-9999.0,1.0,2.5169,2.5,-9999.0,1.0,140.8,1.0,37.1,1.0,636.7,1.0,-9999.0,1.0,302.7,1.0,27.6,1.0,0.2,1.0
2024-03-01 13:00:00,28,33.0,1.0,-9999.0,1.0,-9999.0,1.0,1.8636,1.8,17.6474,1.8,19.511,1.8,-9999.0,1.0,-9999.0,1.0,2.43798,2.5,-9999.0,1.0,328.5,1.0,35.8,1.0,636.1,1.0,-9999.0,1.0,344.03,1.0,28.2,1.0,1.0,1.0
2024-03-01 14:00:00,28,38.0,1.0,-9999.0,1.0,-9999.0,1.0,0.9212,1.8,17.3369,1.8,18.2581,1.8,-9999.0,1.0,-9999.0,1.0,1.97672,2.5,-9999.0,1.0,43.8,1.0,33.7,1.0,635.3,1.0,-9999.0,1.0,348.8,1.0,29.2,1.0,0.3,1.0
2024-03-01 15:00:00,28,42.0,1.0,-9999.0,1.0,-9999.0,1.0,0.7691,1.8,21.0464,1.8,21.8155,1.8,-9999.0,1.0,-9999.0,1.0,1.94979,2.5,-9999.0,1.0,48.8,1.0,32.3,1.0,634.4,1.0,-9999.0,1.0,225.71,1.0,29.5,1.0,0.5,1.0
2024-03-01 16:00:00,28,26.0,1.0,-9999.0,1.0,-9999.0,1.0,2.2894,1.8,15.0477,1.8,17.3371,1.8,-9999.0,1.0,-9999.0,1.0,1.42778,2.5,-9999.0,1.0,9.2,1.0,32.5,1.0,633.9,1.0,-9999.0,1.0,190.58,1.0,29.6,1.0,1.2,1.0
2024-03-01 17:00:00,28,26.0,1.0,-9999.0,1.0,-9999.0,1.0,2.3096,1.8,13.6735,1.8,15.9832,1.8,-9999.0,1.0,-9999.0,1.0,1.23379,2.5,-9999.0,1.0,35.2,1.0,35.9,1.0,634.1,1.0,-9999.0,1.0,79.93,1.0,28.7,1.0,1.5,1.0
2024-03-01 18:00:00,28,32.0,1.0,-9999.0,1.0,-9999.0,1.0,3.6356,1.8,21.5863,1.8,25.2219,1.8,-9999.0,1.0,-9999.0,1.0,1.31,2.5,-9999.0,1.0,342.1,1.0,41.3,1.0,634.6,1.0,-9999.0,1.0,4.9,1.0,26.9,1.0,2.0,1.0
2024-03-01 19:00:00,28,40.0,1.0,-9999.0,1.0,-9999.0,1.0,8.5968,1.8,32.2857,1.8,40.8826,1.8,-9999.0,1.0,-9999.0,1.0,2.07026,2.5,-9999.0,1.0,323.9,1.0,49.2,1.0,635.3,1.0,-9999.0,1.0,0.09,1.0,25.3,1.0,2.3,1.0
2024-03-01 20:00:00,28,47.0,1.0,-9999.0,1.0,-9999.0,1.0,2.2886,1.8,25.222,1.8,27.5106,1.8,-9999.0,1.0,-9999.0,1.0,1.79541,2.5,-9999.0,1.0,329.1,1.0,53.2,1.0,636.0,1.0,-9999.0,1.0,0.0,1.0,24.6,1.0,2.6,1.0
2024-03-01 21:00:00,28,47.0,1.0,-9999.0,1.0,-9999.0,1.0,3.3662,1.8,22.9705,1.8,26.3368,1.8,-9999.0,1.0,-9999.0,1.0,2.54204,2.5,-9999.0,1.0,321.1,1.0,59.6,1.0,636.6,1.0,-9999.0,1.0,0.0,1.0,23.5,1.0,2.9,1.0
2024-03-01 22:00:00,28,48.0,1.0,-9999.0,1.0,-9999.0,1.0,1.5736,1.8,17.4814,1.8,19.055,1.8,-9999.0,1.0,-9999.0,1.0,3.26501,2.5,-9999.0,1.0,338.0,1.0,60.8,1.0,637.2,1.0,-9999.0,1.0,0.0,1.0,22.7,1.0,2.1,1.0
2024-03-01 23:00:00,28,32.0,1.0,-9999.0,1.0,-9999.0,1.0,1.4392,1.8,20.3443,1.8,21.7835,1.8,-9999.0,1.0,-9999.0,1.0,3.36184,2.5,-9999.0,1.0,358.7,1.0,60.8,1.0,637.6,1.0,-9999.0,1.0,0.0,1.0,22.1,1.0,1.4,1.0
2024-03-02 00:00:00,28,37.0,1.0,-9999.0,1.0,-9999.0,1.0,0.8176,1.8,21.1398,1.8,21.9574,1.8,-9999.0,1.0,-9999.0,1.0,4.99347,2.1,-9999.0,1.0,19.7,1.0,61.6,1.0,637.5,1.0,-9999.0,1.0,0.0,1.0,21.4,1.0,0.6,1.0
2024-03-02 01:00:00,28,47.0,1.0,-9999.0,1.0,-9999.0,1.0,0.6223,1.8,25.1416,1.8,25.7638,1.8,-9999.0,1.0,-9999.0,1.0,7.03936,2.5,-9999.0,1.0,342.4,1.0,64.3,1.0,637.1,1.0,-9999.0,1.0,0.0,1.0,20.4,1.0,0.4,1.0
2024-03-02 02:00:00,28,38.0,1.0,-9999.0,1.0,-9999.0,1.0,0.3182,1.8,19.9046,1.8,20.2228,1.8,-9999.0,1.0,-9999.0,1.0,5.59983,2.5,-9999.0,1.0,350.0,1.0,65.1,1.0,636.9,1.0,-9999.0,1.0,0.0,1.0,19.7,1.0,0.3,1.0
2024-03-02 03:00:00,28,36.0,1.0,-9999.0,1.0,-9999.0,1.0,0.2968,1.8,19.0149,1.8,19.3117,1.8,-9999.0,1.0,-9999.0,1.0,6.85567,2.5,-9999.0,1.0,330.2,1.0,65.2,1.0,636.6,1.0,-9999.0,1.0,0.0,1.0,19.3,1.0,0.6,1.0
2024-03-02 04:00:00,28,38.0,1.0,-9999.0,1.0,-9999.0,1.0,0.0881,1.8,20.5593,1.8,20.6474,1.8,-9999.0,1.0,-9999.0,1.0,8.76537,2.5,-9999.0,1.0,347.4,1.0,65.6,1.0,636.6,1.0,-9999.0,1.0,0.0,1.0,19.0,1.0,0.3,1.0
2024-03-02 05:00:00,28,50.0,1.0,-9999.0,1.0,-9999.0,1.0,8.251,1.8,23.8872,1.8,32.1382,1.8,-9999.0,1.0,-9999.0,1.0,14.4508,2.5,-9999.0,1.0,221.5,1.0,69.8,1.0,636.8,1.0,-9999.0,1.0,0.0,1.0,18.1,1.0,0.0,1.0
2024-03-02 06:00:00,28,78.0,1.0,-9999.0,1.0,-9999.0,1.0,38.0301,2.2,26.3926,1.8,64.4227,1.8,-9999.0,1.0,-9999.0,1.0,18.4399,2.5,-9999.0,1.0,159.1,1.0,69.1,1.0,637.0,1.0,-9999.0,1.0,0.04,1.0,17.9,1.0,0.2,1.0
2024-03-02 07:00:00,28,68.0,1.0,-9999.0,1.0,-9999.0,1.0,50.0047,2.2,26.8213,1.8,76.826,2.2,-9999.0,1.0,-9999.0,1.0,11.8212,2.5,-9999.0,1.0,194.1,1.0,69.8,1.0,637.7,1.0,-9999.0,1.0,19.43,1.0,17.7,1.0,0.0,1.0
