Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2017-08-01 00:00:00,31,33.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.156844,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,239.574,1.0,91.5475,1.0,619.406,1.0,-9999.0,1.0,-0.0533333,151.0,16.2653,1.0,0.171729,1.0
2017-08-01 01:00:00,31,30.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.322778,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,248.27,1.0,92.4836,1.0,618.978,1.0,-9999.0,1.0,0.0,1.0,15.7582,1.0,0.015465,1.0
2017-08-01 02:00:00,31,37.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.416806,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,164.828,1.0,93.0921,1.0,618.69,1.0,-9999.0,1.0,0.0,1.0,15.0965,1.0,0.155207,1.0
2017-08-01 03:00:00,31,30.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.31375,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,153.228,1.0,91.7664,1.0,618.412,1.0,-9999.0,1.0,0.0,1.0,14.9708,1.0,0.190042,1.0
2017-08-01 04:00:00,31,28.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.245556,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,213.719,1.0,91.2431,1.0,618.388,1.0,-9999.0,1.0,0.0,1.0,14.6618,1.0,0.0947583,1.0
2017-08-01 05:00:00,31,40.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.315556,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,150.008,1.0,91.4156,1.0,618.614,1.0,-9999.0,1.0,0.0,1.0,14.7489,1.0,0.113644,1.0
2017-08-01 06:00:00,31,54.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.512639,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,55.0594,1.0,91.7704,1.0,618.731,1.0,-9999.0,1.0,0.0,1.0,15.4579,1.0,0.0599869,1.0
2017-08-01 07:00:00,31,58.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,0.711528,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,151.609,1.0,90.4421,1.0,619.157,1.0,-9999.0,1.0,10.6156,1.0,15.2154,1.0,0.223983,1.0
2017-08-01 08:00:00,31,51.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.00792,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,110.1,1.0,80.7965,1.0,619.45,1.0,-9999.0,1.0,137.147,1.0,17.6006,1.0,0.190443,1.0
2017-08-01 09:00:00,31,42.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.2411,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,33.6637,1.0,71.2932,1.0,619.45,151.0,-9999.0,1.0,282.772,1.0,19.7336,1.0,1.13889,1.0
