anio,mes,dia,hora,pm25,festivo,temperatura,humedad,presion,p1,velocidad_prom,velocidad_max,direccion_prom,direccion_max,dia_semana_Fin de Semana,dia_semana_Inicio Semana,dia_semana_Media semana,estacion_Estacion Aranjuez,estacion_Estacion Belen,estacion_Estacion Caldas,estacion_Estacion Itagui,franja_horaria_Madrugada,franja_horaria_Mañana,franja_horaria_Noche,franja_horaria_Tarde
2024,1,1,0,16,1,20,84,0,0,1,2,64,66,0,1,0,0,0,0,1,1,0,0,0
2024,1,1,2,47,1,18,82,0,0,2,2,170,185,0,1,0,0,0,0,1,1,0,0,0
2024,1,1,6,39,1,17,84,0,0,0,1,181,193,0,1,0,0,0,0,1,0,1,0,0
2024,1,1,8,29,1,21,74,0,0,0,1,130,95,0,1,0,0,0,0,1,0,1,0,0
2024,1,1,9,38,1,22,71,0,0,0,1,116,109,0,1,0,0,0,0,1,0,1,0,0
2024,1,1,10,33,1,23,70,0,0,2,3,32,31,0,1,0,0,0,0,1,0,1,0,0
2024,1,1,11,16,1,24,68,0,0,1,2,118,121,0,1,0,0,0,0,1,0,1,0,0
2024,1,1,12,15,1,25,66,0,0,1,2,98,86,0,1,0,0,0,0,1,0,0,0,1
2024,1,1,13,21,1,26,65,0,0,1,1,75,77,0,1,0,0,0,0,1,0,0,0,1
2024,1,1,14,22,1,25,67,0,0,2,3,30,40,0,1,0,0,0,0,1,0,0,0,1
2024,1,1,15,14,1,26,67,0,0,1,2,94,78,0,1,0,0,0,0,1,0,0,0,1
2024,1,1,17,14,1,25,72,0,0,3,5,23,36,0,1,0,0,0,0,1,0,0,0,1
2024,1,1,18,9,1,23,78,0,0,3,4,27,30,0,1,0,0,0,0,1,0,0,1,0
2024,1,1,21,13,1,21,84,0,0,2,3,39,42,0,1,0,0,0,0,1,0,0,1,0
2024,1,1,22,11,1,21,84,0,0,2,3,24,29,0,1,0,0,0,0,1,0,0,1,0
2024,1,1,23,15,1,21,84,0,0,1,2,25,25,0,1,0,0,0,0,1,0,0,1,0
2024,1,2,1,6,0,20,85,0,0,2,3,49,52,0,1,0,0,0,0,1,1,0,0,0
2024,1,2,2,14,0,20,85,0,0,1,2,44,50,0,1,0,0,0,0,1,1,0,0,0
2024,1,2,3,7,0,20,86,0,0,1,2,42,50,0,1,0,0,0,0,1,1,0,0,0
2024,1,2,4,8,0,20,87,0,0,1,2,38,43,0,1,0,0,0,0,1,1,0,0,0
2024,1,2,5,10,0,19,87,0,0,1,2,34,36,0,1,0,0,0,0,1,1,0,0,0
2024,1,2,6,14,0,19,87,0,0,2,3,26,33,0,1,0,0,0,0,1,0,1,0,0
2024,1,2,7,23,0,19,86,0,0,2,3,33,38,0,1,0,0,0,0,1,0,1,0,0
2024,1,2,8,11,0,20,83,0,0,2,3,46,49,0,1,0,0,0,0,1,0,1,0,0
2024,1,2,10,13,0,23,73,0,0,1,2,124,109,0,1,0,0,0,0,1,0,1,0,0
2024,1,2,11,21,0,25,69,0,0,1,2,70,59,0,1,0,0,0,0,1,0,1,0,0
2024,1,2,12,17,0,26,67,0,0,1,2,145,174,0,1,0,0,0,0,1,0,0,0,1
2024,1,2,13,9,0,27,64,0,0,2,3,33,42,0,1,0,0,0,0,1,0,0,0,1
2024,1,2,14,14,0,28,63,0,0,1,2,175,189,0,1,0,0,0,0,1,0,0,0,1
2024,1,2,15,11,0,27,67,0,0,1,3,205,204,0,1,0,0,0,0,1,0,0,0,1
2024,1,2,16,12,0,26,71,0,0,3,5,342,333,0,1,0,0,0,0,1,0,0,0,1
2024,1,2,18,9,0,23,79,0,0,3,5,21,36,0,1,0,0,0,0,1,0,0,1,0
2024,1,2,19,8,0,22,83,0,0,2,4,26,32,0,1,0,0,0,0,1,0,0,1,0
2024,1,2,20,16,0,22,83,0,0,2,3,35,40,0,1,0,0,0,0,1,0,0,1,0
2024,1,2,21,7,0,21,84,0,0,1,2,50,50,0,1,0,0,0,0,1,0,0,1,0
2024,1,2,22,7,0,20,83,0,0,2,2,173,195,0,1,0,0,0,0,1,0,0,1,0
